filename	subjectGroup	age	sex	Native.language.s.	mySegmentationCond	lang	response	correct_segm	underlying	surface	n.changes	closest_match_just_match	closest.match.length	closest.match.pos	stream	n.attested.sylls	closest_match
399612_200413_123744_e447fd54a8b36a00128e042c32cacab397d2eaa6.csv	3	18	male	1	segmented	L1	gallatu,taibiku,dairobe,pilato	1	golatu	galatu	1	golatu	6	1	abc	3	golatu
399612_200413_123744_e447fd54a8b36a00128e042c32cacab397d2eaa6.csv	3	18	male	1	segmented	L1	gallatu,taibiku,dairobe,pilato	1	dabiku	tabiku	1	biku	4	2	abc	3	dabiku
399612_200413_123744_e447fd54a8b36a00128e042c32cacab397d2eaa6.csv	3	18	male	1	segmented	L1	gallatu,taibiku,dairobe,pilato	1	daropi	darobi	1	daropi	6	1	abc	3	daropi
399612_200413_123744_e447fd54a8b36a00128e042c32cacab397d2eaa6.csv	3	18	male	1	segmented	L1	gallatu,taibiku,dairobe,pilato	1	pilado	pilato	1	pi	2	1	abc	3	pilado
399612_200413_123759_27953cf8fb9648d25968fa79703c74350829061f.csv	3	25	female	English	segmented	L1	da be do do be da to be do ge ba to	0.75	da	da	0	da	2	1	abc	1	da
399612_200413_123759_27953cf8fb9648d25968fa79703c74350829061f.csv	3	25	female	English	segmented	L1	da be do do be da to be do ge ba to	0.75	bi	bi	0	bi	2	1	bca	1	bi
399612_200413_123759_27953cf8fb9648d25968fa79703c74350829061f.csv	3	25	female	English	segmented	L1	da be do do be da to be do ge ba to	0.75	do	do	0	do	2	1	abc	1	do
399612_200413_123759_27953cf8fb9648d25968fa79703c74350829061f.csv	3	25	female	English	segmented	L1	da be do do be da to be do ge ba to	0.75	pa	ba	1	pa	2	1	abc	1	pa
399612_200413_123844_feeda9ad1884c35a0c9d9370ae16890d083a04bb.csv	4	34	male	Polish	segmented	L2	picuti tudara,picuti budapa,picuti picala	1	bikuti	pikuti	1	bikuti	6	1	abc	3	bikuti
399612_200413_123844_feeda9ad1884c35a0c9d9370ae16890d083a04bb.csv	4	34	male	Polish	segmented	L2	picuti tudara,picuti budapa,picuti picala	1	tudaro	tudara	1	tudaro	6	1	abc	3	tudaro
399612_200413_123844_feeda9ad1884c35a0c9d9370ae16890d083a04bb.csv	4	34	male	Polish	segmented	L2	picuti tudara,picuti budapa,picuti picala	1	budopa	budapa	1	budopa	6	1	abc	3	budopa
399612_200413_123844_feeda9ad1884c35a0c9d9370ae16890d083a04bb.csv	4	34	male	Polish	segmented	L2	picuti tudara,picuti budapa,picuti picala	1	pigola	pikala	2	pigola	6	1	abc	3	pigola
399612_200413_123903_ccf442fe24d1d7ce4ac9997b4e54dcc88ae4c698.csv	3	22	male	Tamil English	segmented	L1	dawrobi tabitu nikumo	0.75	daropi	darobi	1	daropi	6	1	abc	3	daropi
399612_200413_123903_ccf442fe24d1d7ce4ac9997b4e54dcc88ae4c698.csv	3	22	male	Tamil English	segmented	L1	dawrobi tabitu nikumo	0.75	dabitu	tabitu	1	da	2	1	abc	3	dabitu
399612_200413_123903_ccf442fe24d1d7ce4ac9997b4e54dcc88ae4c698.csv	3	22	male	Tamil English	segmented	L1	dawrobi tabitu nikumo	0.75	nikumo	nikumo	0	ku	2	2	abc	1	XXkuXX
399612_200413_123915_a37b066a4de2cd25e2ffadd34cd6ebf0372d4b9a.csv	4	22	male	English	segmented	L2	bi cou ti,se rah pah,do so ra	0.5	bikuti	bikuti	0	bikuti	6	1	abc	3	bikuti
399612_200413_123915_a37b066a4de2cd25e2ffadd34cd6ebf0372d4b9a.csv	4	22	male	English	segmented	L2	bi cou ti,se rah pah,do so ra	0.5	siropa	sirapa	1	ro	2	2	abc	2	XXropa
